name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
MadOut2 BigCity,24,MadOut Games,MadOut Games,1578,1184,0,2.05,138,103.5,666.12
,,,,,,,,,,
Alien Swarm: Reactive Drop,86,Reactive Drop Team,Reactive Drop Team,2061220,1587038,50051,14.11,-1,0,-1
,,,,,,,,,,
Space Pilgrim Episode I: Alpha Centauri,65,"Pilgrim Adventures, GrabTheGames Studios",GrabTheGames,285672,185897,16804,6.92,20,44.18,109.66
,,,,,,,,,,
Spirit Guide Crucible,,IndieRevo,IndieRevo,3650,778,0,0,150,76,0
,,,,,,,,,,
Overgrowth,31,Wolfire Games,Wolfire Games,264854,157192,5996,2.67,42,81.22,598.32
,,,,,,,,,,
Dragon Drop,,Squish Studios LLC,Squish Studios LLC,795,0,0,0,18,34,72
,,,,,,,,,,
PROTOThYPE,9,Monkeys Tales Studio,Monkeys Tales Studio,795,0,0,1,12,102.67,25.04
,,,,,,,,,,
Tycoon City: New York,3,,Retroism,29933,10765,0,0.58,108,92.41,338.44
,,,,,,,,,,
Ichi,78,Stolen Couch Games,Stolen Couch Games,97412,68792,1974,10.4,43,51.48,75.62
,,,,,,,,,,
The Last Remnant,47,Square Enix,Square Enix,898503,493100,4726,4.15,43,91.04,335.79
,,,,,,,,,,
Farm Machines Championships 2014,5,Silden,Silden,40960,9452,0,0.7,-1,0,-1
,,,,,,,,,,
Mystery Masters: Psycho Train Deluxe Edition,30,Alawar,Viva Media,17855,8665,0,2.5,108,71.07,31.29
,,,,,,,,,,
Hatred,42,Destructive Creations,Destructive Creations,175440,159277,10427,3.59,25,45.11,0.44
,,,,,,,,,,
Gotta Go,74,Dire Nerd Studios,Dire Nerd Studios,1184,1184,0,10,80,27,0
,,,,,,,,,,
Puzzle: Underwater World,,Boogygames Studios,Boogygames Studios,790,0,0,0,108,21,0
,,,,,,,,,,
The Saint: Abyss of Despair,18,Happy Artist,Alawar Entertainment,10765,5776,0,1.7,108,67.25,47.27
,,,,,,,,,,
Lost Legends: The Pharaoh's Tomb,11,Escape VR LLC,Escape VR LLC,1589,795,0,1.2,154,62,0
,,,,,,,,,,
Real Horror Stories Ultimate Edition,4,GameORE,Strategy First,73781,42011,789,0.69,88,45.48,0.42
,,,,,,,,,,
Primal Carnage: Onslaught,7,Pub Games,Circle 5 Studios,789,795,0,0.89,108,75.25,40.64
,,,,,,,,,,
Heroes of Legionwood,47,Dark Gaia Studios,Degica,14966,5776,0,4.25,50,80.45,172.38
,,,,,,,,,,
Chroma Lab,99,Sean Tann,Sean Tann,5251,3413,0,50.67,43,122,0
,,,,,,,,,,
Joint Task Force,71,Most Wanted Entertainment,HD Publishing,46212,17067,784,8.8,42,100.73,247.08
,,,,,,,,,,
Pix the Cat,51,Pastagames,Focus Home Interactive,81333,37278,781,4.58,42,90.55,24.89
,,,,,,,,,,
Sengoku Jidai: Shadow of the Shogun,39,Byzantine Games,Slitherine Ltd.,7352,6039,785,3.21,79,110.4,2358.79
,,,,,,,,,,
DisneyPixar Cars 2: The Video Game,10,Avalanche Software,Disney Interactive,14859,6778,784,1.09,226,110.44,305.6
,,,,,,,,,,
Achievement Hunter: Urban 2,14,putilin_industries,putilin_industries,1825,1303,0,1.4,106,0,-1
,,,,,,,,,,
The Witcher: Enhanced Edition Director's Cut,62,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",3761916,2674868,40667,6.37,43,36.96,14.8
,,,,,,,,,,
Let's Draw,9,Indie Game Group,Indie Game Group,364180,297225,2363,1.03,79,55,6
,,,,,,,,,,
ROAD OF DANGER,17,Atriagames,Atriagames,3910,784,0,1.57,80,13.5,10.12
,,,,,,,,,,
Chowderchu,10,Ryan Jensen,Ryan Jensen,7820,6256,0,1.12,79,86.38,304.74
,,,,,,,,,,
Kingdoms and Castles,53,"Lion Shield, LLC","Lion Shield, LLC",421419,403040,49888,5.25,33,25,8
,,,,,,,,,,
Astral Gun,39,Thomas Moon Kang,Thomas Moon Kang,1176,1176,0,3.25,737,0,-1
,,,,,,,,,,
Senza Peso,86,Kite & Lightning,Kite & Lightning,50150,26519,789,14.38,-1,0,-1
,,,,,,,,,,
FEMINAZI: 3000,6,Paradox Terminal,Back To Basics Gaming,6827,2101,1184,0.83,143,0,-1
,,,,,,,,,,
ComPet - Beast Battles,23,MindArk PE AB,MindArk PE AB,14704,6564,785,1.95,-1,0,-1
,,,,,,,,,,
Tiltagon,59,Kiemura Ltd,Kiemura Ltd,61782,8081,781,5.75,69,87.86,373.66
,,,,,,,,,,
Skyscraper Simulator,0,"United Independent Entertainment GmbH, Actalogic",Libredia,62491,23894,784,0.16,108,122.08,603.26
,,,,,,,,,,
Contrast,74,Compulsion Games,Focus Home Interactive,256528,157802,784,9.9,43,50.77,2.56
,,,,,,,,,,
Rescue Team,82,Alawar Entertainment,Buka Entertainment,6302,3676,785,13.2,44,57.5,48.35
,,,,,,,,,,
Townopolis,11,Lonely Troops,Lonely Troops,22318,14179,1589,1.21,108,60.89,22.12
,,,,,,,,,,
Stories Untold,71,No Code,Devolver Digital,189573,51463,1838,8.36,43,36.62,23.21
,,,,,,,,,,
Kartofank VR,,VIRTUAL REALITY LABORATORY DV,VIRTUAL REALITY LABORATORY DV,795,0,0,0,120,0,-1
,,,,,,,,,,
Unturned,74,Smartly Dressed Games,Smartly Dressed Games,35083493,28149848,805510,10.08,-1,0,-1
,,,,,,,,,,
FranknJohn,28,bitSmith Games,bitSmith Games,6778,785,0,2.4,410,66,10
,,,,,,,,,,
Boogeyman 2,59,Barry McCabe,Clockwork Wolf,7352,2888,0,6.12,24,48.71,7.58
,,,,,,,,,,
Never Forget Me,23,Winter Wolves,Winter Wolves,790,785,785,2,80,51.5,10.56
,,,,,,,,,,
Alone K.W.,0,TeamWaterFly,TeamWaterFly,1050,789,0,0.17,231,465,0
,,,,,,,,,,
Monster Slayers,71,Nerdook Productions,Digerati Distribution,29718,20594,2346,8.46,31,36.38,117.24
,,,,,,,,,,
Starters Orders 6 Horse Racing,62,Strategic Designs Ltd.,Strategic Designs Ltd.,3413,3151,784,6.25,226,83.25,9.77
,,,,,,,,,,
Three Fourths Home: Extended Edition,18,[bracket]games,Digerati Distribution,29670,17592,0,1.67,80,61.06,32.88
,,,,,,,,,,
Street Arena,12,Blossom Games,Blossom Games,15641,3650,0,1.26,88,57,17.07
,,,,,,,,,,
Across,100,Jonathan Sprauel Games,Jonathan Sprauel Games,1176,784,0,3,44,140.67,2862.37
,,,,,,,,,,
Tokyo Hosto,8,Baller Industries,Baller industries,22056,1050,0,0.93,886,97,0
,,,,,,,,,,
SolarGun,65,Mechanical Boss,Mechanical Boss,28882,18117,4726,6.71,25,28,4
,,,,,,,,,,
theHunter: Primal,15,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",165534,132166,2868,1.44,410,70.78,0.55
,,,,,,,,,,
Rebel Galaxy,59,Double Damage Games,Double Damage Games,426738,296657,7299,6.12,43,65.92,74.58
,,,,,,,,,,
Galaxy Control: 3D Strategy,9,FX Games Media,FX Games Media,149925,86647,1313,1.04,-1,0,-1
,,,,,,,,,,
Tower Miners,,CaveDave,CaveDave,795,0,0,0,17,64.5,231.12
,,,,,,,,,,
Tales of the Orient: The Rising Sun,56,Green Sauce Games,Green Sauce Games,79558,60128,785,5.27,44,73.93,5.69
,,,,,,,,,,
SnakEscape,62,"Triple-Star Studio, Rock Path Collective",Rock Path Collective,11553,6564,0,6.5,12,54.77,8.05
,,,,,,,,,,
Song Samurai,,"Jake Overall, Mark Ohnsman, Josh Olds, Matthew Overall, Jaime Madsen, Gunnar Anderson, Aaron Kim",CodeWorks,795,795,0,0,179,0,-1
,,,,,,,,,,
World's Dawn,53,Wayward Prophet,Wayward Prophet,29145,23894,790,5,12,52.07,119.65
,,,,,,,,,,
Black Rainbow,17,Cateia Games,Libredia,7352,1184,0,1.58,108,127.5,600.62
,,,,,,,,,,
Divinity: Dragon Commander,37,Larian Studios,Larian Studios,326633,226857,1050,3.16,42,57.15,3.1
,,,,,,,,,,
Lost in a Forest,9,Konsordo,Konsordo,3389,2734,0,1,110,165,1120.67
,,,,,,,,,,
Rise of Keepers,27,Samaritan Studios,Samaritan Studios,788,790,0,2.25,797,3,0
,,,,,,,,,,
Harvest: Massive Encounter,44,Oxeye Game Studio,Oxeye Game Studio,42798,23894,785,3.95,227,296.62,1474.92
,,,,,,,,,,
X2: The Threat,42,Egosoft,Egosoft,258628,55402,1176,3.76,66,70.42,130.02
,,,,,,,,,,
Trigger Time,,Shephf Games,Creative Mobile,784,784,0,0,-1,0,-1
,,,,,,,,,,
BuildMoreCubes,10,HA Studio Ltd.,HA Studio Ltd.,2626,1838,0,1.12,108,85,650.25
,,,,,,,,,,
The Fastest Fist,89,"Touch Art Technology Co.,Ltd","Touch Art Technology Co.,Ltd",1303,1303,784,16,456,0,-1
,,,,,,,,,,
Star Control: Kessari Quadrant,,Legend Entertainment,Stardock Entertainment,1050,784,0,0,-1,0,-1
,,,,,,,,,,
Spellspire,53,10tons Ltd,10tons Ltd,2626,1974,0,5,42,35.83,0.56
,,,,,,,,,,
Origin Space,56,Rimware,Rimware,781,781,0,5.5,42,0,-1
,,,,,,,,,,
STICK ENGINE,,Triverske,Triverske,795,0,0,0,108,58,0
,,,,,,,,,,
the 9th day:,89,lingtanstudio,lingtanstudio,5251,4201,0,16.29,42,103,176.33
,,,,,,,,,,
Only If,21,Creability,Creability,1272923,601277,784,1.78,-1,0,-1
,,,,,,,,,,
Hand of Fate,78,Defiant Development,Defiant Development,696284,499729,10688,11.36,43,51.74,1.97
,,,,,,,,,,
Rock of Ages,82,ACE Team,ATLUS USA,462905,364705,4726,11.56,12,73.88,1.17
,,,,,,,,,,
Moonchild,62,Aldorlea Games,Aldorlea Games,14179,7352,785,6.2,108,42.71,6.53
,,,,,,,,,,
Pulut Adventure,19,yayapipi,yayapipi,11209,1568,0,1.76,333,200.33,5662.26
,,,,,,,,,,
N++ (NPLUSPLUS),95,Metanet Software Inc.,Metanet Software Inc.,115743,82897,5474,27.28,43,53.56,12.12
,,,,,,,,,,
Nancy Drew: Warnings at Waverly Academy,74,HeR Interactive,HeR Interactive,20743,12078,785,9,43,115.95,235.93
,,,,,,,,,,
Anti Gravity Warriors VR,,Niket Patel,Niket Patel,9385,4953,784,0,-1,0,-1
,,,,,,,,,,
Maniac Mansion,14,Lucasfilm Games,"Lucasfilm, Disney",4464,2363,784,1.4,56,0,-1
,,,,,,,,,,
BIT.TRIP VOID,40,Gaijin Games,Gaijin Games,52658,27632,0,3.38,84,99.78,4.28
,,,,,,,,,,
Heretic: Shadow of the Serpent Riders,89,Raven Software,id Software,222102,63867,2734,17.89,42,91.04,335.79
,,,,,,,,,,
Molten Armor,31,Brutal Muse Studio,Brutal Muse Studio,785,785,0,2.67,44,37,338
,,,,,,,,,,
88 Heroes,59,Bitmap Bureau,Rising Star Games,785,785,785,6,49,90,1740.5
,,,,,,,,,,
Economic Conquest,13,Frismos,Frismos,2626,1974,0,1.38,261,139,0
,,,,,,,,,,
Peregrin,51,Domino Digital Limited,Green Man Gaming Publishing,2626,1050,0,4.64,42,35.5,217.56
,,,,,,,,,,
Distant Space,40,PixelMouse,PixelMouse,50833,43273,778,3.42,28,54.29,10.85
,,,,,,,,,,
Starlight Tactics,13,"Escape Hatch Entertainment,LLC","Escape Hatch Entertainment, LLC",1974,1579,0,1.3,232,270.67,472.93
,,,,,,,,,,
Adventures of Abrix,,EJRGames,EJRGames,13653,8140,789,0,32,49.5,45.38
,,,,,,,,,,
Magic Potion Explorer,11,ARTIFACTS,AGM PLAYISM,3938,2888,795,1.21,108,59.6,0.02
,,,,,,,,,,
Moonshot Galaxy,89,Liftoff Labs,Big Fish Games,1313,784,0,17,43,116,2244.5
,,,,,,,,,,
Nicolas Eymerich The Inquisitor Book II : The Village,17,TiconBlu,Microids Indie,32558,1974,0,1.62,108,61.33,4.63
,,,,,,,,,,
Super Ultra Monster Smash!,,Ken Koji,Ken Koji,4296,781,0,0,49,69,24.5
,,,,,,,,,,
Karma,1,WnMStudio,WnMStudio,7089,1579,0,0.39,536,134.33,1173.48
,,,,,,,,,,
Whiplash - Crash Valley,5,Diagrammet AB,Diagrammet AB,7352,5776,790,0.71,116,78,72.25
,,,,,,,,,,
Giana Sisters: Twisted Dreams,44,Black Forest Games,"Black Forest Games, THQ Nordic",611302,283102,2346,3.95,45,53.8,16.18
,,,,,,,,,,
Wizorb,28,Tribute Games Inc.,Tribute Games Inc.,260683,137901,1171,2.35,79,94.32,17.61
,,,,,,,,,,
One More Dungeon,44,Stately Snail,Stately Snail,68560,49008,781,3.98,12,39.8,71.44
,,,,,,,,,,
Drawn: Dark Flight Collector's Edition,16,Big Fish Studios,Big Fish Games,1313,1570,0,1.5,410,154,0
,,,,,,,,,,
Lost jumping frog,89,Primitive Studio,Primitive Studio,1589,0,0,18,18,28,65.33
,,,,,,,,,,
Eclipsed,,Christ Laurenz Sambrano,Christ Laurenz Sambrano,4726,0,0,6,410,316,0
,,,,,,,,,,
An Occasional Dream,,Itsjusta Games,Itsjusta Games,795,0,0,0,80,23.5,21.12
,,,,,,,,,,
Ravenmark: Scourge of Estellion,22,Witching Hour Studios,Slitherine Ltd.,19692,10240,0,1.9,108,97.12,1155
,,,,,,,,,,
Zombie Apocalypse: Escape The Undead City,2,Anarchy Enterprises,Anarchy Enterprises,5996,3910,784,0.46,113,49.5,0.03
,,,,,,,,,,
Sol Divide,19,Psikyo,Console Classics,1172,0,0,1.75,284,164.25,1.27
,,,,,,,,,,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,49,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,38860,19167,2369,4.41,44,49.5,210.12
,,,,,,,,,,
The Blackwell Legacy,71,Wadjet Eye Games,Wadjet Eye Games,147562,64329,0,8.44,44,94.13,320.59
,,,,,,,,,,
 - Old Watch,62,¡ÄÂŒ_©ŒÝ_,¡ÄÂŒ_©ŒÝ_,8665,6564,2363,6.14,43,0,-1
,,,,,,,,,,
A.I.M. Racing,31,SkyRiver Studios,1C Company,34149,6256,0,2.67,79,119.36,342.32
,,,,,,,,,,
Assetto Corsa,65,Kunos Simulazioni,Kunos Simulazioni,597339,572658,104501,6.97,43,48.63,72.49
,,,,,,,,,,
Disgraced,62,Corrosive Studios LLC,Corrosive Studios LLC,10765,6827,795,6.29,45,49.22,108.31
,,,,,,,,,,
The Fishing Club 3D,23,Robot Riot UG (haftungsbeschrÌ_nkt),Robot Riot UG (haftungsbeschrÌ_nkt),69055,42273,2101,2.02,-1,0,-1
,,,,,,,,,,
Resident Evil Revelations 2 / Biohazard Revelations 2,40,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",953057,539614,8342,3.36,53,59.56,58.38
,,,,,,,,,,
A Butterfly in the District of Dreams,,Life a Little,Sekai Project,1050,1184,0,0,43,76.67,313.48
,,,,,,,,,,
Mr. Triangle's Adventure,100,Red Triangle Games,Red Triangle Games,40960,37284,1974,2,373,0,-1
,,,,,,,,,,
Dead Cells,92,Motion Twin,Motion Twin,637891,607131,102188,19.88,42,45,0.8
,,,,,,,,,,
Square Brawl,53,Landfall,Landfall,15120,8081,784,5.11,276,112.6,199.71
,,,,,,,,,,
Stealth Labyrinth,13,Reddoll Srl,IV Production,3389,3888,0,1.36,110,109.2,73.73
,,,,,,,,,,
Strange Space,,Mayhem Games USA,Mayhem Games USA,795,0,0,0,735,25.5,153.12
,,,,,,,,,,
Battlegun,40,Norven Games,Norven Games,7089,788,790,3.45,51,68,40.5
,,,,,,,,,,
Solar System Journey VR,,Amusitronix,Amusitronix,795,0,0,0,-1,0,-1
,,,,,,,,,,
Kingdom: Classic,67,"Noio, Licorice",Raw Fury,2027801,943927,58815,7.42,556,63.5,333.06
,,,,,,,,,,
Fading,,Kolapo Oni,Kolapo Oni,1184,790,785,0,50,0,-1
,,,,,,,,,,
Organic Panic,9,Last Limb LLC,GameMill,12773,3389,0,1,-1,0,-1
,,,,,,,,,,
"Dab, Dance & Twerk",5,Revived Games,ACID,1589,0,0,0.71,-1,0,-1
,,,,,,,,,,
Iron Grip: Warlord,59,ISOTX,ISOTX,149371,60478,785,6.02,-1,0,-1
,,,,,,,,,,
XenoShyft,23,Cool Mini or Not,Cool Mini or Not,3151,2888,0,2,234,454,0
,,,,,,,,,,
MagiCat,89,Kucing Rembes,"Toge Productions, Another Indie",4171,3136,784,18.5,44,41,192
,,,,,,,,,,
Battles of the Valiant Universe CCG,3,Silent Legends,Silent Legends,5514,1313,0,0.55,-1,0,-1
,,,,,,,,,,
Build-A-Lot 3: Passport to Europe,100,Hip Soft,iWin,4201,3922,784,1,226,296.62,1474.92
,,,,,,,,,,
Revolution Under Siege Gold,31,"Sep Reds, Ageod",Slitherine Ltd.,11290,5251,0,2.67,108,116.83,1345
,,,,,,,,,,
Doorways: The Underworld,31,Saibot Studios,Saibot Studios,75077,45098,0,2.65,108,54.09,0.17
,,,,,,,,,,
SPACEPLAN,78,Jake Hollands,Devolver Digital,32296,28882,1313,10.19,43,58.67,1891.7
,,,,,,,,,,
The Infinite Black,22,Spellbook,www.Spellbook.com,46999,25994,1184,1.9,-1,0,-1
,,,,,,,,,,
Pathfinder Adventures,30,Obsidian Entertainment,Asmodee Digital,16542,14179,1313,2.47,79,53.67,625.93
,,,,,,,,,,
Hotel Collectors Edition,2,Cateia Games,Libredia,13653,2888,0,0.44,108,116.36,342.32
,,,,,,,,,,
Air Dash,,Vishwa Karma Studios,Vishwa Karma Studios,795,0,0,0,-1,0,-1
,,,,,,,,,,
Fair Strike,33,G5 Software,Buka Entertainment,4432,3650,784,2.75,108,53.94,0.91
,,,,,,,,,,
TINY METAL,39,AREA 35,Sony Music Entertainment (Japan) Inc. / UNTIES,4464,4464,790,3.22,-1,0,-1
,,,,,,,,,,
Tennis Elbow 2013,78,Mana Games,Mana Games,16804,16279,1575,10.21,17,40.15,61.07
,,,,,,,,,,
The Castles of Dr. Creep,86,"Ed Hobbs, Robert Crossfield",Strobs Canardly,1313,790,0,15,44,48.5,140.62
,,,,,,,,,,
Quest of Dungeons,40,David Amador,David Amador,86122,52513,0,3.45,79,78.94,2.93
,,,,,,,,,,
Septic Savages,,Jenito,Jenito,6778,781,0,2,110,120,1281.33
,,,,,,,,,,
The Brave Mouse,3,Vyacheslav Shilikhin,Vyacheslav Shilikhin,16017,1050,0,0.61,119,0,-1
,,,,,,,,,,
Pharaoh + Cleopatra,62,Impressions Games,Activision,67217,49100,5251,6.32,12,58.43,1810.33
,,,,,,,,,,
Endangered,,Strawberry Game Studios,Strawberry Game Studios,784,784,0,1.17,231,235,0
,,,,,,,,,,
Pinball FX3,35,Zen Studios,Zen Studios,91898,43323,10240,2.92,-1,0,-1
,,,,,,,,,,
RymdResa,42,Morgondag,Morgondag,30195,19430,0,3.63,79,51.5,54.39
,,,,,,,,,,
Pavlov VR,68,davevillz,davevillz,63346,55004,12773,7.5,43,74,361
,,,,,,,,,,
SLIDE: platformer,100,APAS games,APAS games,789,0,0,6,226,108.5,135.38
,,,,,,,,,,
MadSpace: To Hell and Beyond,47,Maddox Games,Nightdive Studios,4171,778,0,4,99,91.9,249
,,,,,,,,,,
Aggression: Europe Under Fire,9,Lesta Studio,Buka Entertainment,9978,6302,784,1.03,108,67.83,116.71
,,,,,,,,,,
"Witches, Heroes and Magic",3,Michael Swan,AweSwan,9190,1184,0,0.57,232,243.33,4907.26
,,,,,,,,,,
Torn Tales,18,Twistplay,Chilled Mouse,11028,6039,0,1.64,108,95,85.33
,,,,,,,,,,
Super Blue Boy Planet,74,Tuwi Michael Nannings,Mich Nannings,254427,207953,2101,9.04,-1,0,-1
,,,,,,,,,,
Dark Devotion,,Hibernian Workshop,Hibernian Workshop,1176,784,0,0,-1,0,-1
,,,,,,,,,,
KOTH,100,Abbeytek Ltd,Abbeytek Ltd,795,0,0,2,32,49.3,31.33
,,,,,,,,,,
Sniper Elite 3,44,Rebellion,Rebellion,1464777,1279693,36756,3.98,43,54.12,139.56
,,,,,,,,,,
Patrician III,42,Ascaron Entertainment ltd.,Kalypso Media Digital,161741,71418,784,3.57,79,79.47,27.01
,,,,,,,,,,
Streamline,33,Proletariat Inc.,Proletariat Inc.,569071,239046,781,2.72,232,184,0
,,,,,,,,,,
M.U.D. TV,6,Realmforge Studios,Kalypso Media Digital,52251,28095,0,0.81,136,87.93,357.65
,,,,,,,,,,
Rugby Union Team Manager 2017,11,Alternative Software Ltd,Alternative Software Ltd,5251,5251,1568,1.16,168,52.2,38.09
,,,,,,,,,,
Dreamals: Dream Quest,,"XINESS Co., ltd.","XINESS Co., ltd.",795,0,0,0,44,40,0
,,,,,,,,,,
The Silent Age,89,House On Fire,Meridian4,298013,114742,2363,15.87,45,40.17,63.36
,,,,,,,,,,
Crimson Tide: Operation Online,0,RaleachGamesStudio,RaleachGamesStudio,795,0,0,0.1,108,42,0
,,,,,,,,,,
The Watchmaker,,Micropsia Games,1C Company,785,0,0,0,-1,0,-1
,,,,,,,,,,
World Boxing Manager,25,Aggroblakh,Aggroblakh,4989,4464,784,2.15,-1,0,-1
,,,,,,,,,,
The Wizards,78,Carbon Studio,Carbon Studio,5214,3389,2333,10.29,44,25.5,85.56
,,,,,,,,,,
We Walked In Darkness,7,CelleC Games,CelleC Games,12866,4201,1838,0.91,-1,0,-1
,,,,,,,,,,
Stars in Shadow,44,Ashdar Games,Iceberg Interactive,19167,14966,1974,3.8,25,44.18,60.6
,,,,,,,,,,
Sky Mercenaries,33,PolarityFlow,PolarityFlow,43795,28154,0,2.77,60,54.65,22.79
,,,,,,,,,,
Super Kitty Boing Boing,6,Pixelated Panties,Pixelated Panties,9385,4692,0,0.8,165,135,1640.25
,,,,,,,,,,
Men of War: Assault Squad 2,56,Digitalmindsoft,1C Company,682673,633573,77982,5.4,12,47.65,14.71
,,,,,,,,,,
Owlboy,74,D-Pad Studio,D-Pad Studio,339931,162666,27632,9.11,43,51.75,0.07
,,,,,,,,,,
Shadow Blade: Reload,67,Dead Mage,Dead Mage,43013,21376,1961,7.54,12,55,58.33
,,,,,,,,,,
Neverwinter,42,Cryptic Studios,Perfect World Entertainment,5443267,3530470,92949,3.68,-1,0,-1
,,,,,,,,,,
State of Decay: YOSE,37,Undead Labs,Microsoft Studios,322204,294832,18248,3.09,43,65.86,273.31
,,,,,,,,,,
Krampus,5,Peace,Peace,125910,113136,781,0.76,108,72.4,30.75
,,,,,,,,,,
America's Army 3,23,U.S. Army,U.S. Army,995288,396499,1303,1.99,-1,0,-1
,,,,,,,,,,
Malfunction,,Barlock Games,Barlock Games,795,0,0,0,97,64,0
,,,,,,,,,,
The Deer God,22,"Crescent Moon Games, Cinopt Studios",Crescent Moon Games,47787,32033,0,1.86,108,105.8,35.34
,,,,,,,,,,
Bastion,95,Supergiant Games,Warner Bros. Interactive Entertainment,2611000,2069562,16423,30.11,12,42.22,7.57
,,,,,,,,,,
Marble Masters: The Pit,,Polyart Inc.,Polyart Inc.,795,0,0,0,52,59,0
,,,,,,,,,,
99 Spirits,14,TORaIKI,Fruitbat Factory,77982,44111,0,1.41,12,49.52,38.43
,,,,,,,,,,
Clash of the Monsters,9,Cadence Games,Cadence Games,93324,50051,0,1,-1,0,-1
,,,,,,,,,,
SparkDimension,9,Asixa,Asixa,9452,5251,795,1,-1,0,-1
,,,,,,,,,,
Drizzlepath: Glass,28,TonguÌ¤ Bodur,TonguÌ¤ Bodur,1838,1184,0,2.42,110,63.5,5.06
,,,,,,,,,,
Empty Horizons,67,ebi-hime,Sekai Project,4201,2101,795,7.33,178,55.71,25.22
,,,,,,,,,,
Dead Island: Riptide Definitive Edition,22,Techland,Deep Silver,167880,89154,5474,1.91,106,47.25,122.07
,,,,,,,,,,
Blackfaun,25,Wild Guess Software,Wild Guess Software,1973,1578,784,2.22,110,96.33,185.19
,,,,,,,,,,
Krinkle Krusher,6,Ilusis Interactive Graphics,"KISS ltd, Funbox Media Ltd",44636,3938,0,0.83,108,58.86,90.31
,,,,,,,,,,
Frederic: Resurrection of Music Director's Cut,53,Forever Entertainment S. A.,Forever Entertainment S. A.,73513,43534,0,5.19,18,49.23,118.39
,,,,,,,,,,
DOOORS VR,23,"ODAKO Co.,Ltd.",58works,795,795,0,2,226,190,0
,,,,,,,,,,
UltraGoodness,51,Rasul Mono,Rasul Mono,132166,126692,6517,4.86,31,44,168.2
,,,,,,,,,,
Stained,12,RealAxis Software,RealAxis Software,3650,2607,0,1.23,232,120.22,170.93
,,,,,,,,,,
Dead By Murder,49,b movie games,Strategy First,789,784,0,4.5,43,46,544.5
,,,,,,,,,,
VR GirlFriend,30,"Silver Moon Internet, ŽÒ¦¾Ïö_ÔÈÏ","Silver Moon Internet, ŽÒ¦¾Ïö_ÔÈÏ",6827,2626,0,2.5,91,0,-1
,,,,,,,,,,
Hazen: The Dark Whispers,1,Dagger Games,Strategy First,13391,6827,0,0.33,108,108.43,282.21
,,,,,,,,,,
Superbrothers: Sword & Sworcery EP,42,"Capybara, Superbrothers, Jim Guthrie",Capybara Games,852816,386498,789,3.73,42,90.09,0.41
,,,,,,,,,,
MUD Motocross World Championship,7,Milestone S.r.l.,BANDAI NAMCO Entertainment,17855,12078,785,0.86,151,101.47,93.92
,,,,,,,,,,
War of Beach,13,LUCKY GIRLS LIMITED,LUCKY GIRLS LIMITED,156490,83234,1575,1.33,-1,0,-1
,,,,,,,,,,
Patrician IV - Steam Special Edition,13,Gaming Minds Studios,Kalypso Media Digital,206902,95049,1184,1.28,136,77.75,86.96
,,,,,,,,,,
Super Jagua,74,cbritez,cbritez,7820,5735,785,9,45,94.4,83.23
,,,,,,,,,,
Among the Sleep - Enhanced Edition,62,Krillbite Studio,Krillbite Studio,210893,158495,1961,6.58,43,59.09,62.53
,,,,,,,,,,
Koi Musubi,86,Narrator,Narrator,2888,2101,784,14.14,80,98.67,655.15
,,,,,,,,,,
Star Wolves 2,5,X-Bow Software,1C Company,75357,9715,0,0.78,232,94.88,346.85
,,,,,,,,,,
East Tower - Akio,35,roseVeRte,roseVeRte,17592,11553,0,2.87,79,52.44,1.65
,,,,,,,,,,
Braveland Wizard,28,Tortuga Team,Tortuga Team,24681,16542,0,2.41,79,51.05,65.36
,,,,,,,,,,
Dungeon Manager ZV 2,53,StudioGIW,Zoo Corporation,795,795,0,5,357,0,-1
,,,,,,,,,,
Elbub,95,Mykhail Konokh,Mykhail Konokh,1184,784,0,24,63,0,-1
,,,,,,,,,,
Solarium,22,Sunfleck Software,Sunfleck Software,61178,47525,0,1.9,-1,0,-1
,,,,,,,,,,
Exodus,10,Galhmac Game Studio,Multi-Form,1973,1184,0,1.08,1128,175,0
,,,,,,,,,,
Tex Murphy: The Pandora Directive,89,Access Software,Nightdive Studios,44111,4726,0,18,44,92.29,398.73
,,,,,,,,,,
Beglitched,86,Hexecutable,Hexecutable,4201,3413,0,13.43,227,181,0
,,,,,,,,,,
The Elder Scrolls V: Skyrim Special Edition,31,Bethesda Game Studios,Bethesda Softworks,6316826,3256088,341336,2.58,42,43.33,29.64
,,,,,,,,,,
The Man in the Cape: Special Edition,,Long Division LLC,Long Division LLC,795,0,0,0,115,0,-1
,,,,,,,,,,
Nudist Beach Survival Simulator,,Tornado Games,Tornado Games,795,0,0,0,45,95,0
,,,,,,,,,,
SCP 087. Re,9,ArtemiZ Game,ArtemiZ Game,4989,795,0,1.05,540,0,-1
,,,,,,,,,,
Imperi,,Nuts and Volts Electronics,Nuts and Volts Electronics,795,0,0,0,86,0,-1
,,,,,,,,,,
